Location,Property Type,Bedrooms,Bathrooms,Size,Price (KES),Listing Date,Amenities,Size_Missing,Size_Numeric,Bedrooms_Numeric,Neighborhood,Property_Type_Encoded,Listing_Date,Listing_Day,Listing_Month,Listing_DayOfWeek,Amenities_Clean,Total_Amenities,Has_Parking,Has_Swimming_Pool,Has_Gym,Has_Garden,Has_CCTV,Has_Backup_Generator,Has_Fibre_Internet,Has_Gated_Community,Price_Per_SqM,Bed_Bath_Ratio,Total_Rooms,Size_Per_Bedroom,Luxury_Score,Size_Category,Price_Category,Bedroom_Category,Neighborhood_Popularity,Is_Weekend_Listing
Nairobi - Karen,House,3 bedrooms,3.0,,200000,20 February 2026,"Alarm, En Suite, Fibre Internet, Service Charge Included, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",1,239.0,3,Karen,1,2026-02-20,20,2,4,"Alarm, En Suite, Fibre Internet, Service Charge Included, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",20,1,0,0,1,1,0,1,1,836.8200836820083,1.0,6.0,79.66666666666667,2.5,Medium,Budget,Medium,45,0
Nairobi - Karen,House,5 bedrooms,5.0,,270000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",1,320.0,5,Karen,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",20,1,0,0,1,1,1,1,0,843.75,1.0,10.0,64.0,3.0,Large,Mid-Range,Large,45,0
Nairobi - Karen,House,3 bedrooms,3.0,,150000,20 February 2026,"En Suite, Fibre Internet, Service Charge Included, Balcony, BBQ, Electric Fence, Borehole, Garden, Parking, CCTV, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",1,239.0,3,Karen,1,2026-02-20,20,2,4,"En Suite, Fibre Internet, Service Charge Included, Balcony, BBQ, Electric Fence, Borehole, Garden, Parking, CCTV, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",19,1,0,0,1,1,0,1,1,627.6150627615062,1.0,6.0,79.66666666666667,2.5,Medium,Budget,Medium,45,0
Nairobi - Karen,House,4 bedrooms,4.0,,450000,20 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",1,300.0,4,Karen,1,2026-02-20,20,2,4,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",24,1,0,0,1,1,1,1,1,1500.0,1.0,8.0,75.0,4.0,Medium,Premium,Medium,45,0
Nairobi - Karen,House,4 bedrooms,4.0,,350000,20 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",1,300.0,4,Karen,1,2026-02-20,20,2,4,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",23,1,0,0,1,1,1,1,1,1166.6666666666667,1.0,8.0,75.0,4.0,Medium,Mid-Range,Medium,45,0
Nairobi - Karen,House,6 bedrooms,6.0,,350000,20 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",1,13.0,6,Karen,1,2026-02-20,20,2,4,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",24,1,0,0,1,1,1,1,1,26923.076923076922,1.0,12.0,2.1666666666666665,4.0,Small,Mid-Range,Large,45,0
Nairobi - Spring Valley,House,4 bedrooms,3.0,,250000,20 February 2026,"En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, Electric Fence, Garden, Parking, Wheelchair Access, Gated Community, Bus Stop, Hospital, Scenic View, School, Shopping Centre",1,300.0,4,Spring Valley,1,2026-02-20,20,2,4,"En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, Electric Fence, Garden, Parking, Wheelchair Access, Gated Community, Bus Stop, Hospital, Scenic View, School, Shopping Centre",16,1,0,0,1,0,0,1,1,833.3333333333334,1.3333333333333333,7.0,75.0,1.5,Medium,Budget,Medium,18,0
Nairobi - Westlands Area,House,3 bedrooms,2.0,234 m²,200000,20 February 2026,"Backup Generator, Fibre Internet, Service Charge Included, Electric Fence, Garden, Parking, Wheelchair Access, Gated Community, Bus Stop, Hospital, Scenic View, School",0,234.0,3,Westlands Area,1,2026-02-20,20,2,4,"Backup Generator, Fibre Internet, Service Charge Included, Electric Fence, Garden, Parking, Wheelchair Access, Gated Community, Bus Stop, Hospital, Scenic View, School",12,1,0,0,1,0,1,1,1,854.7008547008547,1.5,5.0,78.0,3.0,Medium,Budget,Medium,11,0
Nairobi - Lavington,House,5 bedrooms,7.0,,780000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",1,320.0,5,Lavington,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",25,1,1,1,1,1,1,1,1,2437.5,0.7142857142857143,12.0,64.0,9.0,Large,Luxury,Large,102,0
Nairobi - Muthaiga,House,4 bedrooms,5.0,320 m²,550000,19 February 2026,"Aircon, Backup Generator, Alarm, Fibre Internet, Walk In Closet, Balcony, Electric Fence, Garden, Parking, Wheelchair Access, Hospital, Scenic View, Bus Stop, School, Shopping Centre",0,320.0,4,Muthaiga,1,2026-02-19,19,2,3,"Aircon, Backup Generator, Alarm, Fibre Internet, Walk In Closet, Balcony, Electric Fence, Garden, Parking, Wheelchair Access, Hospital, Scenic View, Bus Stop, School, Shopping Centre",15,1,0,0,1,0,1,1,0,1718.75,0.8,9.0,80.0,2.0,Large,Premium,Medium,10,0
